Usr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SuperAdmin | admin@campuserp.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SuperAdmin | superadmin@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
SuperAdmin | superadmin@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
SuperAdmin | superadmin@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
SuperAdmin | superadmin@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
SchoolAdmin | ahmedsamer6788@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
SchoolAdmin | mohamed@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
SchoolAdmin | schooladmin@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SchoolAdmin | schooladmin@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
SchoolAdmin | schooladmin@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
SchoolAdmin | schooladmin@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
Teacher | ahmedsamer67883@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Teacher | teacher@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Teacher | teacher@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Teacher | teacher@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Teacher | teacher@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Teacher | teacher1@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Teacher | teacher1@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Teacher | teacher10@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
Teacher | teacher10@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Teacher | teacher11@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
Teacher | teacher12@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
Teacher | teacher2@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Teacher | teacher2@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Teacher | teacher3@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Teacher | teacher3@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Teacher | teacher4@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Teacher | teacher4@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Teacher | teacher5@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Teacher | teacher5@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Teacher | teacher6@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Teacher | teacher6@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Teacher | teacher7@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Teacher | teacher7@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Teacher | teacher8@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Teacher | teacher8@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Teacher | teacher9@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Teacher | teacher9@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | ahmedsamir3bas@gmail.com                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Student | student@demo.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Student | student@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Student | student@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Student | student1@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student1@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student1@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Student | student10@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student10@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student10@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student11@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student11@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student11@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student12@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student12@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student12@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student13@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student13@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student13@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student14@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student14@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student14@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student15@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student15@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student15@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student16@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student16@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student16@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student17@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student17@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student17@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student18@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student18@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student18@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student19@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student19@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student19@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student2@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student2@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student2@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Student | student20@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student20@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student20@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student21@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student21@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student21@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student22@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student22@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student22@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student23@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student23@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student23@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student24@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student24@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student24@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student25@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student25@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student25@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student26@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Student | student26@greenfield.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Student | student26@riverside.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Student | student27@demo-school.school                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
